source_dataset,record_id,distance_km,weather_condition,traffic_level,time_of_day,vehicle_type,gig_type,temperature_c,humidity_pct,precipitation_mm,preparation_time_min,courier_experience_yrs,worker_age,worker_rating,order_type,delivery_time_min,congestion_ratio,weather_risk,traffic_risk,news_risk,context_mult,severity_score,claim_triggered,risk_band,coverage_amount,payout_estimate
,522,7.93,Windy,Low,Afternoon,scooter,delivery,23.0,55.0,0.0,12.0,1.0,29.0,4.7,Unknown,43.0,0.25,7.0,25.0,0.0,1.3,19.03,0,Low,5000,951.5000000000001
,738,16.42,Clear,Medium,Evening,cycle,delivery,29.0,45.0,0.0,20.0,2.0,29.0,4.7,Unknown,84.0,0.5,0.0,50.0,0.0,1.5,24.33,0,Low,5000,1216.5
,741,9.52,Fog,Low,Night,scooter,delivery,22.0,80.0,0.1,28.0,1.0,29.0,4.7,Unknown,59.0,0.25,16.5,25.0,0.0,1.3,21.09,0,Low,5000,1054.5
,661,7.44,Rain,Medium,Afternoon,scooter,delivery,24.0,85.0,2.5,5.0,1.0,29.0,4.7,Unknown,37.0,0.5,27.5,50.0,0.0,1.3,31.43,0,Moderate,5000,1571.5000000000002
,412,19.03,Clear,Low,Morning,cycle,delivery,29.0,45.0,0.0,16.0,5.0,29.0,4.7,Unknown,68.0,0.25,0.0,25.0,0.0,1.5,13.56,0,Low,5000,678.0
,679,19.4,Clear,Low,Evening,scooter,delivery,29.0,45.0,0.0,8.0,9.0,29.0,4.7,Unknown,57.0,0.25,0.0,25.0,0.0,1.3,12.25,0,Low,5000,612.5
,627,9.52,Clear,Low,Nan,cycle,delivery,29.0,45.0,0.0,12.0,1.0,29.0,4.7,Unknown,49.0,0.25,0.0,25.0,0.0,1.5,17.55,0,Low,5000,877.5000000000001
,514,17.39,Clear,Medium,Evening,scooter,delivery,29.0,45.0,0.0,5.0,6.0,29.0,4.7,Unknown,46.0,0.5,0.0,50.0,0.0,1.3,23.32,0,Low,5000,1166.0
,860,1.78,Snow,Low,Evening,car,delivery,0.0,88.0,1.5,20.0,6.0,29.0,4.7,Unknown,35.0,0.25,58.1,25.0,0.0,0.8,29.35,0,Low,5000,1467.5000000000002
,137,10.62,Fog,Low,Evening,scooter,delivery,22.0,80.0,0.1,29.0,1.0,29.0,4.7,Unknown,73.0,0.25,16.5,25.0,0.0,1.3,20.89,0,Low,5000,1044.5
,812,16.86,Snow,Medium,Afternoon,car,delivery,0.0,88.0,1.5,13.0,4.0,29.0,4.7,Unknown,88.0,0.5,58.1,50.0,0.0,0.8,39.34,1,Moderate,5000,1967.0000000000002
,77,15.54,Clear,Low,Night,cycle,delivery,29.0,45.0,0.0,29.0,1.0,29.0,4.7,Unknown,76.0,0.25,0.0,25.0,0.0,1.5,19.57,0,Low,5000,978.5000000000001
,637,10.89,Clear,High,Night,cycle,delivery,29.0,45.0,0.0,12.0,5.0,29.0,4.7,Unknown,53.0,0.75,0.0,75.0,0.0,1.5,32.59,0,Moderate,5000,1629.5000000000002
,974,4.69,Rain,Medium,Evening,scooter,delivery,24.0,85.0,2.5,12.0,7.0,29.0,4.7,Unknown,36.0,0.5,27.5,50.0,0.0,1.3,34.98,0,Moderate,5000,1748.9999999999998
,939,2.8,Clear,High,Morning,scooter,delivery,29.0,45.0,0.0,10.0,5.0,29.0,4.7,Unknown,33.0,0.75,0.0,75.0,0.0,1.3,34.93,0,Moderate,5000,1746.5
,900,2.17,Snow,Low,Evening,car,delivery,0.0,88.0,1.5,15.0,3.0,29.0,4.7,Unknown,35.0,0.25,58.1,25.0,0.0,0.8,31.18,0,Moderate,5000,1559.0
,281,17.86,Rain,Low,Afternoon,cycle,delivery,24.0,85.0,2.5,5.0,1.0,29.0,4.7,Unknown,50.0,0.25,27.5,25.0,0.0,1.5,26.03,0,Low,5000,1301.5000000000002
,884,2.53,Snow,Low,Morning,cycle,delivery,0.0,88.0,1.5,6.0,8.0,29.0,4.7,Unknown,24.0,0.25,58.1,25.0,0.0,1.5,37.7,0,Moderate,5000,1885.0
,762,6.58,Fog,Low,Evening,car,delivery,22.0,80.0,0.1,6.0,7.0,29.0,4.7,Unknown,27.0,0.25,16.5,25.0,0.0,0.8,18.75,0,Low,5000,937.5
,320,5.38,Clear,Medium,Evening,scooter,delivery,29.0,45.0,0.0,26.0,1.0,29.0,4.7,Unknown,47.0,0.5,0.0,50.0,0.0,1.3,24.72,0,Low,5000,1235.9999999999998
,550,15.56,Rain,Low,Afternoon,scooter,delivery,24.0,85.0,2.5,28.0,0.0,29.0,4.7,Unknown,72.0,0.25,27.5,25.0,0.0,1.3,22.22,0,Low,5000,1111.0
,175,13.08,Rain,Low,Morning,car,delivery,24.0,85.0,2.5,16.0,4.0,29.0,4.7,Unknown,58.0,0.25,27.5,25.0,0.0,0.8,23.49,0,Low,5000,1174.5
,372,0.86,Clear,High,Afternoon,cycle,delivery,29.0,45.0,0.0,26.0,5.0,29.0,4.7,Unknown,37.0,0.75,0.0,75.0,0.0,1.5,32.78,0,Moderate,5000,1639.0000000000002
,528,5.83,Clear,High,Evening,car,delivery,29.0,45.0,0.0,27.0,9.0,29.0,4.7,Unknown,56.0,0.75,0.0,75.0,0.0,0.8,30.95,0,Moderate,5000,1547.5
,211,11.2,Clear,Medium,Morning,cycle,delivery,29.0,45.0,0.0,23.0,5.0,29.0,4.7,Unknown,73.0,0.5,0.0,50.0,0.0,1.5,26.84,0,Low,5000,1341.9999999999998
,236,14.59,Clear,Medium,Morning,cycle,delivery,29.0,45.0,0.0,15.0,6.0,29.0,4.7,Unknown,64.0,0.5,0.0,50.0,0.0,1.5,26.34,0,Low,5000,1317.0000000000002
,102,12.91,Windy,Medium,Evening,cycle,delivery,23.0,55.0,0.0,11.0,6.0,29.0,4.7,Unknown,56.0,0.5,7.0,50.0,0.0,1.5,28.15,0,Low,5000,1407.4999999999998
,987,13.92,Snow,Low,Morning,scooter,delivery,0.0,88.0,1.5,18.0,4.0,29.0,4.7,Unknown,70.0,0.25,58.1,25.0,0.0,1.3,36.87,1,Moderate,5000,1843.4999999999998
,903,4.04,Snow,Low,Night,cycle,delivery,0.0,88.0,1.5,11.0,9.0,29.0,4.7,Unknown,70.0,0.25,58.1,25.0,0.0,1.5,37.97,0,Moderate,5000,1898.5
,948,18.05,Clear,Medium,Evening,scooter,delivery,29.0,45.0,0.0,10.0,7.0,29.0,4.7,Unknown,123.0,0.5,0.0,50.0,0.0,1.3,26.99,0,Low,5000,1349.4999999999998
,347,12.88,Clear,Medium,Morning,scooter,delivery,29.0,45.0,0.0,8.0,5.0,29.0,4.7,Unknown,52.0,0.5,0.0,50.0,0.0,1.3,23.93,0,Low,5000,1196.5
,140,19.45,Rain,High,Morning,scooter,delivery,24.0,85.0,2.5,20.0,6.0,29.0,4.7,Unknown,108.0,0.75,27.5,75.0,0.0,1.3,42.71,1,Moderate,5000,2135.5
,622,4.58,Clear,High,Morning,scooter,delivery,29.0,45.0,0.0,22.0,9.0,29.0,4.7,Unknown,45.0,0.75,0.0,75.0,0.0,1.3,34.61,0,Moderate,5000,1730.5
,500,19.73,Fog,Medium,Evening,cycle,delivery,22.0,80.0,0.1,27.0,4.0,29.0,4.7,Unknown,111.0,0.5,16.5,50.0,0.0,1.5,29.79,0,Low,5000,1489.5
,371,2.47,Windy,Medium,Morning,cycle,delivery,23.0,55.0,0.0,27.0,2.0,29.0,4.7,Unknown,44.0,0.5,7.0,50.0,0.0,1.5,24.78,0,Low,5000,1239.0
,199,17.8,Snow,Medium,Morning,cycle,delivery,0.0,88.0,1.5,16.0,9.0,29.0,4.7,Unknown,73.0,0.5,58.1,50.0,0.0,1.5,46.33,1,Moderate,5000,2316.5
,688,5.96,Clear,Medium,Afternoon,cycle,delivery,29.0,45.0,0.0,22.0,7.0,29.0,4.7,Unknown,45.0,0.5,0.0,50.0,0.0,1.5,24.59,0,Low,5000,1229.5
